Vendor Name,Category,Segment,Annual Spend (EUR),Contract End Date,Payment Terms,Usage/Licenses,Last Review Date,Notes
Microsoft,Software,IT,450000,2025-12-31,Annual,500 E3 licenses,2024-01-15,Office 365 Enterprise
Amazon Web Services,Cloud Infrastructure,IT,320000,2024-06-30,Monthly,Multiple instances,2023-11-20,EC2 + S3 + RDS services
Salesforce,CRM,Sales,185000,2025-03-31,Annual,300 seats,2024-02-10,Sales Cloud + Service Cloud
SAP,ERP,Operations,275000,2025-09-30,Annual,Enterprise license,2023-08-15,SAP S/4HANA
Slack,Communication,IT,24000,2024-12-31,Annual,450 users,2024-03-01,Business Plus plan
Adobe Creative Cloud,Software,Marketing,96000,2025-06-30,Annual,80 licenses,2023-12-05,Full Creative Suite
Google Workspace,Productivity,IT,38000,2024-09-15,Annual,450 users,2024-01-20,Business Standard
Zoom,Communication,IT,18500,2024-11-30,Annual,200 licenses,2024-02-15,Business plan
LinkedIn Sales Navigator,Sales Tool,Sales,42000,2025-01-31,Annual,50 seats,2023-10-10,Advanced tier
HubSpot,Marketing Automation,Marketing,78000,2025-04-30,Annual,Enterprise plan,2023-09-25,Marketing + Sales Hub
Datadog,Monitoring,IT,52000,2024-08-31,Monthly,100 hosts,2024-01-05,Pro tier
Tableau,Analytics,IT,65000,2025-02-28,Annual,75 creators,2023-11-15,Creator + Explorer licenses
DocuSign,E-Signature,Operations,28000,2024-10-31,Annual,Enterprise plan,2024-02-20,Unlimited envelopes
Jira,Project Management,IT,15600,2024-07-31,Annual,200 users,2024-03-10,Premium plan
Workday,HR System,HR,165000,2025-05-31,Annual,Enterprise,2023-07-20,HCM + Payroll
Oracle Database,Database,IT,195000,2025-08-31,Annual,Enterprise license,2023-06-15,19c Enterprise Edition
Concur,Expense Management,Finance,45000,2024-09-30,Annual,500 users,2023-12-10,Professional edition
Power BI,Analytics,IT,22000,2024-12-31,Annual,150 Pro licenses,2024-01-25,Pro + Premium capacity
Dropbox Business,Storage,IT,31000,2025-01-15,Annual,400 users,2023-10-05,Advanced plan
ServiceNow,ITSM,IT,135000,2025-07-31,Annual,Enterprise,2023-05-15,IT Service Management